Subject	Sample
NA19380	NA19380
NA19019	NA19019
NA20774	NA20774
HG00369	HG00369
HG00183	HG00183
HG01413	HG01413
NA19089	NA19089
NA20770	NA20770
HG02107	HG02107
HG03121	HG03121
HG03394	HG03394
NA12044	NA12044
HG01855	HG01855
NA19984	NA19984
HG00684	HG00684
HG00346	HG00346
HG00176	HG00176
NA19309	NA19309
NA19006	NA19006
NA20768	NA20768
HG03175	HG03175
HG03279	HG03279
NA18983	NA18983
NA19900	NA19900
NA12827	NA12827
NA18630	NA18630
HG00525	HG00525
HG02634	HG02634
NA20507	NA20507
HG02122	HG02122
HG03060	HG03060
HG02398	HG02398
NA18908	NA18908
HG01176	HG01176
NA20785	NA20785
NA11932	NA11932
HG00138	HG00138
NA18989	NA18989
HG00436	HG00436
HG02455	HG02455
HG03058	HG03058
HG00457	HG00457
HG00282	HG00282
HG02490	HG02490
NA11832	NA11832
HG01105	HG01105
HG01061	HG01061
HG02737	HG02737
NA06986	NA06986
HG02058	HG02058
NA19773	NA19773
NA19201	NA19201
NA19651	NA19651
HG02645	HG02645
HG02134	HG02134
HG00243	HG00243
HG01345	HG01345
HG00422	HG00422
NA18511	NA18511
HG00530	HG00530
HG03472	HG03472
NA20819	NA20819
NA20775	NA20775
HG02646	HG02646
HG03300	HG03300
HG02419	HG02419
NA19036	NA19036
HG02464	HG02464
NA19462	NA19462
HG01675	HG01675
HG00542	HG00542
HG01551	HG01551
NA18647	NA18647
HG00179	HG00179
HG02185	HG02185
HG01606	HG01606
NA19083	NA19083
HG02861	HG02861
NA19725	NA19725
NA19058	NA19058
NA18520	NA18520
HG01275	HG01275
NA20533	NA20533
HG02410	HG02410
HG02085	HG02085
NA19750	NA19750
NA20543	NA20543
HG01088	HG01088
HG02095	HG02095
HG00151	HG00151
NA19130	NA19130
NA19144	NA19144
HG02582	HG02582
HG01804	HG01804
HG02805	HG02805
HG03461	HG03461
NA19374	NA19374
NA18968	NA18968
NA18948	NA18948
HG00120	HG00120
NA12414	NA12414
HG01173	HG01173
HG01113	HG01113
HG02470	HG02470
NA11892	NA11892
NA18622	NA18622
NA19041	NA19041
NA18619	NA18619
HG01461	HG01461
NA20588	NA20588
NA19436	NA19436
HG02078	HG02078
HG03343	HG03343
NA20904	NA20904
HG01390	HG01390
HG01049	HG01049
HG00593	HG00593
HG01815	HG01815
NA19190	NA19190
HG02028	HG02028
HG03198	HG03198
HG01148	HG01148
HG02676	HG02676
HG01372	HG01372
HG01685	HG01685
HG00717	HG00717
NA18881	NA18881
HG01583	HG01583
HG00235	HG00235
NA19982	NA19982
HG01597	HG01597
HG03136	HG03136
NA12287	NA12287
NA20754	NA20754
HG02054	HG02054
HG00867	HG00867
HG00580	HG00580
HG01130	HG01130
NA20790	NA20790
HG01668	HG01668
HG01271	HG01271
HG02384	HG02384
HG00262	HG00262
HG02501	HG02501
HG00734	HG00734
HG03372	HG03372
NA19223	NA19223
HG00692	HG00692
HG02127	HG02127
NA19779	NA19779
HG03634	HG03634
HG01491	HG01491
HG01773	HG01773
NA18531	NA18531
HG01776	HG01776
NA18563	NA18563
NA12058	NA12058
HG00142	HG00142
HG02048	HG02048
HG03190	HG03190
HG00565	HG00565
HG02771	HG02771
NA20357	NA20357
NA18965	NA18965
HG02839	HG02839
NA19819	NA19819
HG00728	HG00728
HG00634	HG00634
HG02733	HG02733
HG00367	HG00367
NA12144	NA12144
HG01359	HG01359
NA19395	NA19395
HG03565	HG03565
NA20586	NA20586
NA19075	NA19075
HG01695	HG01695
NA18867	NA18867
NA19377	NA19377
NA18635	NA18635
HG01619	HG01619
HG01968	HG01968
NA19440	NA19440
HG01353	HG01353
HG02281	HG02281
HG01874	HG01874
HG02977	HG02977
HG02558	HG02558
HG00657	HG00657
NA19102	NA19102
HG00437	HG00437
NA19731	NA19731
NA12751	NA12751
HG02026	HG02026
NA12829	NA12829
NA19473	NA19473
NA19404	NA19404
NA19023	NA19023
NA20299	NA20299
HG03436	HG03436
HG01883	HG01883
HG02870	HG02870
HG02373	HG02373
NA18645	NA18645
HG01708	HG01708
HG03129	HG03129
HG01866	HG01866
NA18543	NA18543
NA18853	NA18853
NA20810	NA20810
NA20274	NA20274
NA11995	NA11995
HG01791	HG01791
HG00237	HG00237
HG01095	HG01095
HG00309	HG00309
HG00610	HG00610
HG02675	HG02675
HG01125	HG01125
HG01851	HG01851
HG00373	HG00373
HG02462	HG02462
HG00620	HG00620
NA18595	NA18595
NA20281	NA20281
HG02392	HG02392
HG01311	HG01311
NA20512	NA20512
HG02318	HG02318
HG00190	HG00190
HG01497	HG01497
HG03163	HG03163
HG03114	HG03114
NA18488	NA18488
HG02390	HG02390
NA11919	NA11919
NA19332	NA19332
HG02855	HG02855
HG03366	HG03366
NA20334	NA20334
HG02628	HG02628
HG02224	HG02224
NA18633	NA18633
HG03625	HG03625
NA18560	NA18560
NA20522	NA20522
HG01809	HG01809
NA20767	NA20767
HG01187	HG01187
NA19921	NA19921
HG01781	HG01781
HG01518	HG01518
HG01516	HG01516
HG00154	HG00154
NA19043	NA19043
HG02116	HG02116
NA19713	NA19713
HG02971	HG02971
HG03069	HG03069
HG03212	HG03212
NA11920	NA11920
HG01845	HG01845
HG03517	HG03517
HG03072	HG03072
NA20806	NA20806
HG02682	HG02682
NA18573	NA18573
HG02604	HG02604
HG00126	HG00126
NA19307	NA19307
HG01707	HG01707
NA19256	NA19256
HG03559	HG03559
HG00479	HG00479
HG01914	HG01914
NA19318	NA19318
NA19676	NA19676
HG00339	HG00339
NA20505	NA20505
NA20582	NA20582
HG00595	HG00595
NA19700	NA19700
HG02166	HG02166
HG03577	HG03577
HG01063	HG01063
NA20539	NA20539
HG02819	HG02819
NA19000	NA19000
HG02016	HG02016
HG00132	HG00132
NA19236	NA19236
HG01796	HG01796
HG02427	HG02427
HG02691	HG02691
HG01988	HG01988
HG00113	HG00113
HG02394	HG02394
HG02760	HG02760
NA20518	NA20518
HG03169	HG03169
HG01124	HG01124
HG02583	HG02583
HG01783	HG01783
NA18538	NA18538
NA18626	NA18626
HG02236	HG02236
NA20529	NA20529
HG01485	HG01485
HG00463	HG00463
NA19431	NA19431
NA20291	NA20291
HG00255	HG00255
HG00705	HG00705
HG00704	HG00704
NA20881	NA20881
HG01136	HG01136
HG00277	HG00277
HG01312	HG01312
HG03458	HG03458
NA18973	NA18973
HG03520	HG03520
HG00231	HG00231
HG01253	HG01253
HG02807	HG02807
HG00185	HG00185
HG02142	HG02142
HG00589	HG00589
NA18992	NA18992
NA18997	NA18997
HG01468	HG01468
HG01700	HG01700
HG01054	HG01054
NA19005	NA19005
NA20813	NA20813
HG03378	HG03378
HG01990	HG01990
NA18641	NA18641
NA19780	NA19780
HG01798	HG01798
NA18861	NA18861
HG02512	HG02512
NA20803	NA20803
NA20797	NA20797
HG00121	HG00121
NA19920	NA19920
NA19138	NA19138
NA06985	NA06985
HG00266	HG00266
NA19153	NA19153
HG03224	HG03224
NA20771	NA20771
HG03301	HG03301
HG02019	HG02019
HG00351	HG00351
HG00149	HG00149
NA18976	NA18976
HG02635	HG02635
HG00650	HG00650
NA19118	NA19118
HG01593	HG01593
HG01528	HG01528
NA19067	NA19067
HG03547	HG03547
HG00356	HG00356
NA18956	NA18956
HG02307	HG02307
HG01334	HG01334
NA19468	NA19468
NA18944	NA18944
HG02568	HG02568
HG02088	HG02088
HG02009	HG02009
HG02885	HG02885
HG02613	HG02613
HG00265	HG00265
HG00446	HG00446
HG02284	HG02284
HG02356	HG02356
HG02178	HG02178
HG00637	HG00637
NA19114	NA19114
NA12814	NA12814
HG03160	HG03160
NA12043	NA12043
HG00259	HG00259
NA20800	NA20800
NA12234	NA12234
HG01870	HG01870
HG02025	HG02025
HG01915	HG01915
NA12843	NA12843
HG02072	HG02072
HG02938	HG02938
NA19391	NA19391
HG02379	HG02379
HG03571	HG03571
HG02334	HG02334
NA20516	NA20516
NA18947	NA18947
HG02133	HG02133
HG00242	HG00242
NA18579	NA18579
NA19314	NA19314
HG02494	HG02494
HG02032	HG02032
NA12341	NA12341
NA18614	NA18614
HG00331	HG00331
NA20532	NA20532
HG02702	HG02702
NA20282	NA20282
HG01524	HG01524
HG01492	HG01492
HG03130	HG03130
NA19454	NA19454
HG00365	HG00365
HG01256	HG01256
NA20827	NA20827
NA12286	NA12286
NA19323	NA19323
HG01441	HG01441
HG01167	HG01167
HG01197	HG01197
HG02188	HG02188
NA19079	NA19079
HG02481	HG02481
HG02445	HG02445
NA12763	NA12763
NA18873	NA18873
NA19093	NA19093
NA20346	NA20346
NA20786	NA20786
HG00409	HG00409
NA12872	NA12872
NA18564	NA18564
HG02155	HG02155
HG01767	HG01767
NA12778	NA12778
HG00556	HG00556
HG02079	HG02079
HG01610	HG01610
HG01080	HG01080
HG01503	HG01503
HG02555	HG02555
HG02620	HG02620
NA19001	NA19001
NA07051	NA07051
HG00628	HG00628
NA18534	NA18534
NA19913	NA19913
HG01046	HG01046
HG03247	HG03247
NA20870	NA20870
NA20832	NA20832
NA19146	NA19146
HG02397	HG02397
NA20508	NA20508
HG02049	HG02049
HG02272	HG02272
NA19090	NA19090
HG00368	HG00368
NA12828	NA12828
NA19347	NA19347
HG00534	HG00534
NA19383	NA19383
NA18909	NA18909
HG03271	HG03271
HG01871	HG01871
HG00683	HG00683
HG01280	HG01280
NA18629	NA18629
HG01817	HG01817
HG02573	HG02573
NA20792	NA20792
NA19901	NA19901
HG01682	HG01682
HG02973	HG02973
HG03189	HG03189
HG00500	HG00500
HG02250	HG02250
HG01843	HG01843
NA18985	NA18985
HG02890	HG02890
NA18547	NA18547
HG03088	HG03088
NA19704	NA19704
NA19310	NA19310
HG01882	HG01882
HG03265	HG03265
HG00663	HG00663
HG03099	HG03099
HG02813	HG02813
HG03082	HG03082
NA18865	NA18865
NA18623	NA18623
HG00320	HG00320
HG00304	HG00304
HG00740	HG00740
NA20864	NA20864
NA18603	NA18603
NA20412	NA20412
HG00171	HG00171
HG00159	HG00159
HG00743	HG00743
HG03120	HG03120
HG00188	HG00188
HG02219	HG02219
HG00361	HG00361
NA19764	NA19764
HG00250	HG00250
HG02614	HG02614
HG00128	HG00128
HG01241	HG01241
HG01402	HG01402
HG00321	HG00321
NA19448	NA19448
HG01794	HG01794
HG02235	HG02235
NA18605	NA18605
NA18924	NA18924
NA18501	NA18501
NA19712	NA19712
NA18950	NA18950
HG03511	HG03511
HG02968	HG02968
HG02820	HG02820
HG00384	HG00384
NA12399	NA12399
HG00100	HG00100
NA19028	NA19028
NA12003	NA12003
NA19063	NA19063
HG01149	HG01149
HG01341	HG01341
HG01348	HG01348
HG01350	HG01350
HG01363	HG01363
HG01369	HG01369
HG01435	HG01435
HG01443	HG01443
HG01494	HG01494
HG01495	HG01495
HG01565	HG01565
HG01566	HG01566
HG01571	HG01571
HG01572	HG01572
HG01577	HG01577
HG01578	HG01578
HG01586	HG01586
HG01589	HG01589
HG01892	HG01892
HG01893	HG01893
HG01917	HG01917
HG01918	HG01918
HG01920	HG01920
HG01921	HG01921
HG01923	HG01923
HG01924	HG01924
HG01927	HG01927
HG01932	HG01932
HG01933	HG01933
HG01935	HG01935
HG01936	HG01936
HG01939	HG01939
HG01941	HG01941
HG01942	HG01942
HG01945	HG01945
HG01947	HG01947
HG01948	HG01948
HG01950	HG01950
HG01951	HG01951
HG01953	HG01953
HG01954	HG01954
HG01961	HG01961
HG01965	HG01965
HG01967	HG01967
HG01970	HG01970
HG01971	HG01971
HG01973	HG01973
HG01974	HG01974
HG01976	HG01976
HG01977	HG01977
HG01979	HG01979
HG01980	HG01980
HG01982	HG01982
HG01991	HG01991
HG01992	HG01992
HG01997	HG01997
HG02002	HG02002
HG02003	HG02003
HG02008	HG02008
HG02089	HG02089
HG02090	HG02090
HG02102	HG02102
HG02104	HG02104
HG02105	HG02105
HG02146	HG02146
HG02147	HG02147
HG02150	HG02150
HG02252	HG02252
HG02253	HG02253
HG02259	HG02259
HG02260	HG02260
HG02262	HG02262
HG02265	HG02265
HG02266	HG02266
HG02271	HG02271
HG02274	HG02274
HG02275	HG02275
HG02277	HG02277
HG02278	HG02278
HG02285	HG02285
HG02286	HG02286
HG02291	HG02291
HG02292	HG02292
HG02298	HG02298
HG02299	HG02299
HG02301	HG02301
HG02304	HG02304
HG02312	HG02312
HG02345	HG02345
HG02348	HG02348
HG02425	HG02425
HG02491	HG02491
HG02600	HG02600
HG02601	HG02601
HG02652	HG02652
HG02657	HG02657
HG02658	HG02658
HG02660	HG02660
HG02661	HG02661
HG02684	HG02684
HG02685	HG02685
HG02687	HG02687
HG02688	HG02688
HG02696	HG02696
HG02724	HG02724
HG02725	HG02725
HG02727	HG02727
HG02728	HG02728
HG02731	HG02731
HG02774	HG02774
HG02775	HG02775
HG02778	HG02778
HG02780	HG02780
HG02783	HG02783
HG02784	HG02784
HG02786	HG02786
HG02787	HG02787
HG02789	HG02789
HG02790	HG02790
HG02792	HG02792
HG02793	HG02793
HG03006	HG03006
HG03007	HG03007
HG03009	HG03009
HG03012	HG03012
HG03015	HG03015
HG03016	HG03016
HG03018	HG03018
HG03019	HG03019
HG03021	HG03021
HG03022	HG03022
HG03228	HG03228
HG03229	HG03229
HG03234	HG03234
HG03235	HG03235
HG03490	HG03490
HG03491	HG03491
HG03585	HG03585
HG03589	HG03589
HG03593	HG03593
HG03594	HG03594
HG03595	HG03595
HG03598	HG03598
HG03600	HG03600
HG03603	HG03603
HG03604	HG03604
HG03607	HG03607
HG03611	HG03611
HG03615	HG03615
HG03616	HG03616
HG03629	HG03629
HG03631	HG03631
HG03636	HG03636
HG03640	HG03640
HG03642	HG03642
HG03643	HG03643
HG03644	HG03644
HG03645	HG03645
HG03646	HG03646
HG03649	HG03649
HG03652	HG03652
HG03653	HG03653
HG03660	HG03660
HG03663	HG03663
HG03667	HG03667
HG03668	HG03668
HG03672	HG03672
HG03673	HG03673
HG03679	HG03679
HG03680	HG03680
HG03681	HG03681
HG03684	HG03684
HG03685	HG03685
HG03686	HG03686
HG03687	HG03687
HG03689	HG03689
HG03690	HG03690
HG03691	HG03691
HG03692	HG03692
HG03693	HG03693
HG03694	HG03694
HG03695	HG03695
HG03696	HG03696
HG03697	HG03697
HG03698	HG03698
HG03702	HG03702
HG03703	HG03703
HG03705	HG03705
HG03706	HG03706
HG03708	HG03708
HG03709	HG03709
HG03711	HG03711
HG03713	HG03713
HG03714	HG03714
HG03716	HG03716
HG03717	HG03717
HG03718	HG03718
HG03720	HG03720
HG03722	HG03722
HG03727	HG03727
HG03729	HG03729
HG03730	HG03730
HG03731	HG03731
HG03733	HG03733
HG03736	HG03736
HG03738	HG03738
HG03740	HG03740
HG03741	HG03741
HG03742	HG03742
HG03743	HG03743
HG03744	HG03744
HG03745	HG03745
HG03746	HG03746
HG03750	HG03750
HG03752	HG03752
HG03753	HG03753
HG03754	HG03754
HG03755	HG03755
HG03756	HG03756
HG03757	HG03757
HG03760	HG03760
HG03762	HG03762
HG03770	HG03770
HG03771	HG03771
HG03772	HG03772
HG03773	HG03773
HG03774	HG03774
HG03775	HG03775
HG03777	HG03777
HG03778	HG03778
HG03779	HG03779
HG03780	HG03780
HG03781	HG03781
HG03782	HG03782
HG03784	HG03784
HG03785	HG03785
HG03786	HG03786
HG03787	HG03787
HG03788	HG03788
HG03789	HG03789
HG03790	HG03790
HG03792	HG03792
HG03793	HG03793
HG03796	HG03796
HG03800	HG03800
HG03802	HG03802
HG03803	HG03803
HG03805	HG03805
HG03808	HG03808
HG03809	HG03809
HG03812	HG03812
HG03814	HG03814
HG03815	HG03815
HG03817	HG03817
HG03821	HG03821
HG03823	HG03823
HG03824	HG03824
HG03826	HG03826
HG03829	HG03829
HG03830	HG03830
HG03832	HG03832
HG03833	HG03833
HG03836	HG03836
HG03837	HG03837
HG03838	HG03838
HG03844	HG03844
HG03846	HG03846
HG03848	HG03848
HG03849	HG03849
HG03850	HG03850
HG03851	HG03851
HG03854	HG03854
HG03856	HG03856
HG03857	HG03857
HG03858	HG03858
HG03861	HG03861
HG03862	HG03862
HG03863	HG03863
HG03864	HG03864
HG03866	HG03866
HG03867	HG03867
HG03868	HG03868
HG03869	HG03869
HG03870	HG03870
HG03871	HG03871
HG03872	HG03872
HG03873	HG03873
HG03874	HG03874
HG03875	HG03875
HG03882	HG03882
HG03884	HG03884
HG03885	HG03885
HG03886	HG03886
HG03887	HG03887
HG03888	HG03888
HG03890	HG03890
HG03894	HG03894
HG03895	HG03895
HG03896	HG03896
HG03897	HG03897
HG03898	HG03898
HG03899	HG03899
HG03900	HG03900
HG03902	HG03902
HG03905	HG03905
HG03907	HG03907
HG03908	HG03908
HG03910	HG03910
HG03911	HG03911
HG03913	HG03913
HG03914	HG03914
HG03916	HG03916
HG03917	HG03917
HG03919	HG03919
HG03920	HG03920
HG03922	HG03922
HG03925	HG03925
HG03926	HG03926
HG03928	HG03928
HG03931	HG03931
HG03934	HG03934
HG03937	HG03937
HG03940	HG03940
HG03941	HG03941
HG03943	HG03943
HG03944	HG03944
HG03945	HG03945
HG03947	HG03947
HG03949	HG03949
HG03950	HG03950
HG03951	HG03951
HG03953	HG03953
HG03955	HG03955
HG03960	HG03960
HG03963	HG03963
HG03965	HG03965
HG03967	HG03967
HG03968	HG03968
HG03969	HG03969
HG03971	HG03971
HG03973	HG03973
HG03974	HG03974
HG03976	HG03976
HG03977	HG03977
HG03978	HG03978
HG03985	HG03985
HG03986	HG03986
HG03989	HG03989
HG03990	HG03990
HG03991	HG03991
HG03995	HG03995
HG03998	HG03998
HG03999	HG03999
HG04001	HG04001
HG04002	HG04002
HG04003	HG04003
HG04006	HG04006
HG04014	HG04014
HG04015	HG04015
HG04017	HG04017
HG04018	HG04018
HG04019	HG04019
HG04020	HG04020
HG04022	HG04022
HG04023	HG04023
HG04025	HG04025
HG04026	HG04026
HG04029	HG04029
HG04033	HG04033
HG04035	HG04035
HG04038	HG04038
HG04039	HG04039
HG04042	HG04042
HG04047	HG04047
HG04054	HG04054
HG04056	HG04056
HG04059	HG04059
HG04060	HG04060
HG04061	HG04061
HG04062	HG04062
HG04063	HG04063
HG04070	HG04070
HG04075	HG04075
HG04076	HG04076
HG04080	HG04080
HG04090	HG04090
HG04093	HG04093
HG04094	HG04094
HG04096	HG04096
HG04098	HG04098
HG04099	HG04099
HG04100	HG04100
HG04106	HG04106
HG04107	HG04107
HG04118	HG04118
HG04131	HG04131
HG04134	HG04134
HG04140	HG04140
HG04141	HG04141
HG04144	HG04144
HG04146	HG04146
HG04152	HG04152
HG04153	HG04153
HG04155	HG04155
HG04156	HG04156
HG04158	HG04158
HG04159	HG04159
HG04161	HG04161
HG04162	HG04162
HG04164	HG04164
HG04171	HG04171
HG04173	HG04173
HG04176	HG04176
HG04177	HG04177
HG04180	HG04180
HG04182	HG04182
HG04183	HG04183
HG04185	HG04185
HG04186	HG04186
HG04188	HG04188
HG04189	HG04189
HG04194	HG04194
HG04195	HG04195
HG04198	HG04198
HG04200	HG04200
HG04202	HG04202
HG04206	HG04206
HG04209	HG04209
HG04210	HG04210
HG04211	HG04211
HG04212	HG04212
HG04214	HG04214
HG04216	HG04216
HG04219	HG04219
HG04222	HG04222
HG04225	HG04225
HG04227	HG04227
HG04229	HG04229
HG04235	HG04235
HG04238	HG04238
HG04239	HG04239
NA19654	NA19654
NA19657	NA19657
NA19661	NA19661
NA19663	NA19663
NA19664	NA19664
NA19670	NA19670
NA19681	NA19681
NA19682	NA19682
NA19716	NA19716
NA19717	NA19717
NA19719	NA19719
NA19720	NA19720
NA19722	NA19722
NA19723	NA19723
NA19726	NA19726
NA19728	NA19728
NA19729	NA19729
NA19732	NA19732
NA19734	NA19734
NA19735	NA19735
NA19740	NA19740
NA19741	NA19741
NA19746	NA19746
NA19747	NA19747
NA19749	NA19749
NA19752	NA19752
NA19755	NA19755
NA19756	NA19756
NA19758	NA19758
NA19759	NA19759
NA19761	NA19761
NA19762	NA19762
NA19770	NA19770
NA19771	NA19771
NA19774	NA19774
NA19776	NA19776
NA19777	NA19777
NA19782	NA19782
NA19783	NA19783
NA19785	NA19785
NA19786	NA19786
NA19788	NA19788
NA19789	NA19789
NA19795	NA19795
NA20314	NA20314
NA20845	NA20845
NA20846	NA20846
NA20847	NA20847
NA20849	NA20849
NA20851	NA20851
NA20852	NA20852
NA20853	NA20853
NA20854	NA20854
NA20856	NA20856
NA20859	NA20859
NA20861	NA20861
NA20863	NA20863
NA20866	NA20866
NA20867	NA20867
NA20868	NA20868
NA20869	NA20869
NA20874	NA20874
NA20875	NA20875
NA20876	NA20876
NA20877	NA20877
NA20878	NA20878
NA20882	NA20882
NA20884	NA20884
NA20885	NA20885
NA20887	NA20887
NA20888	NA20888
NA20889	NA20889
NA20891	NA20891
NA20892	NA20892
NA20894	NA20894
NA20895	NA20895
NA20896	NA20896
NA20897	NA20897
NA20899	NA20899
NA20900	NA20900
NA20901	NA20901
NA20902	NA20902
NA20903	NA20903
NA20905	NA20905
NA20906	NA20906
NA20908	NA20908
NA20911	NA20911
NA21086	NA21086
NA21087	NA21087
NA21088	NA21088
NA21089	NA21089
NA21090	NA21090
NA21091	NA21091
NA21092	NA21092
NA21093	NA21093
NA21094	NA21094
NA21095	NA21095
NA21097	NA21097
NA21098	NA21098
NA21099	NA21099
NA21100	NA21100
NA21101	NA21101
NA21102	NA21102
NA21103	NA21103
NA21104	NA21104
NA21105	NA21105
NA21106	NA21106
NA21107	NA21107
NA21109	NA21109
NA21110	NA21110
NA21111	NA21111
NA21112	NA21112
NA21113	NA21113
NA21114	NA21114
NA21115	NA21115
NA21116	NA21116
NA21117	NA21117
NA21118	NA21118
NA21119	NA21119
NA21120	NA21120
NA21122	NA21122
NA21123	NA21123
NA21124	NA21124
NA21125	NA21125
NA21126	NA21126
NA21127	NA21127
NA21128	NA21128
NA21129	NA21129
NA21130	NA21130
NA21133	NA21133
NA21135	NA21135
NA21137	NA21137
NA21141	NA21141
NA21142	NA21142
NA21143	NA21143
NA21144	NA21144
