Subject	Sample
HG01403	HG01403
NA19378	NA19378
HG01447	HG01447
NA19012	NA19012
HG01628	HG01628
HG00553	HG00553
HG01878	HG01878
HG00186	HG00186
NA19160	NA19160
HG00956	HG00956
NA18602	NA18602
NA20778	NA20778
NA18981	NA18981
HG00533	HG00533
HG00122	HG00122
NA20289	NA20289
HG00742	HG00742
HG03268	HG03268
HG02402	HG02402
HG00513	HG00513
NA12750	NA12750
HG00350	HG00350
HG00675	HG00675
HG00148	HG00148
NA18628	NA18628
HG03479	HG03479
NA20795	NA20795
HG00136	HG00136
NA20127	NA20127
HG02020	HG02020
HG01431	HG01431
NA18977	NA18977
HG00982	HG00982
HG00319	HG00319
NA18544	NA18544
HG03270	HG03270
HG02332	HG02332
NA19204	NA19204
HG01603	HG01603
HG02642	HG02642
HG02923	HG02923
NA20320	NA20320
HG02611	HG02611
HG02010	HG02010
NA18610	NA18610
HG03086	HG03086
HG02589	HG02589
NA18542	NA18542
NA19792	NA19792
NA19213	NA19213
NA18615	NA18615
NA18522	NA18522
HG02570	HG02570
NA20812	NA20812
HG03557	HG03557
HG02374	HG02374
HG00689	HG00689
HG03567	HG03567
HG02360	HG02360
HG00598	HG00598
HG00360	HG00360
HG00699	HG00699
NA20761	NA20761
HG01986	HG01986
NA19376	NA19376
HG00097	HG00097
HG02138	HG02138
HG02231	HG02231
NA19384	NA19384
NA18624	NA18624
HG03196	HG03196
HG03258	HG03258
HG00336	HG00336
HG02522	HG02522
HG02694	HG02694
HG02981	HG02981
NA19315	NA19315
HG03419	HG03419
HG01029	HG01029
HG03077	HG03077
HG02703	HG02703
NA18954	NA18954
NA20822	NA20822
HG02536	HG02536
HG03351	HG03351
NA07357	NA07357
NA12342	NA12342
HG01082	HG01082
NA19324	NA19324
HG01813	HG01813
NA12283	NA12283
HG02840	HG02840
HG02953	HG02953
HG00464	HG00464
NA18933	NA18933
HG02887	HG02887
HG00281	HG00281
HG01766	HG01766
HG00238	HG00238
HG01069	HG01069
HG01383	HG01383
HG03449	HG03449
HG02154	HG02154
HG01164	HG01164
NA18745	NA18745
NA12413	NA12413
NA19649	NA19649
HG00254	HG00254
HG03132	HG03132
NA19914	NA19914
