SAMPLE_ID	BODY_SITE	ANALYTE_TYPE	IS_TUMOR
HG02380	peripheral 	blood 	DNA unknown
HG01308	peripheral 	blood 	DNA unknown
NA19206	peripheral 	blood 	DNA unknown
HG00240	peripheral 	blood 	DNA unknown
HG01850	peripheral 	blood 	DNA unknown
HG02339	peripheral 	blood 	DNA unknown
NA18504	peripheral 	blood 	DNA unknown
HG00187	peripheral 	blood 	DNA unknown
NA18942	peripheral 	blood 	DNA unknown
HG03027	peripheral 	blood 	DNA unknown
HG00536	peripheral 	blood 	DNA unknown
NA19320	peripheral 	blood 	DNA unknown
NA19025	peripheral 	blood 	DNA unknown
HG02610	peripheral 	blood 	DNA unknown
NA20815	peripheral 	blood 	DNA unknown
HG01305	peripheral 	blood 	DNA unknown
HG02586	peripheral 	blood 	DNA unknown
NA18617	peripheral 	blood 	DNA unknown
HG00672	peripheral 	blood 	DNA unknown
NA19200	peripheral 	blood 	DNA unknown
HG02484	peripheral 	blood 	DNA unknown
HG01456	peripheral 	blood 	DNA unknown
HG01806	peripheral 	blood 	DNA unknown
NA19149	peripheral 	blood 	DNA unknown
HG01133	peripheral 	blood 	DNA unknown
NA19091	peripheral 	blood 	DNA unknown
NA06994	peripheral 	blood 	DNA unknown
HG03538	peripheral 	blood 	DNA unknown
HG03385	peripheral 	blood 	DNA unknown
NA19185	peripheral 	blood 	DNA unknown
HG03040	peripheral 	blood 	DNA unknown
HG00261	peripheral 	blood 	DNA unknown
HG02282	peripheral 	blood 	DNA unknown
NA18967	peripheral 	blood 	DNA unknown
NA19085	peripheral 	blood 	DNA unknown
NA19225	peripheral 	blood 	DNA unknown
HG02895	peripheral 	blood 	DNA unknown
NA12045	peripheral 	blood 	DNA unknown
HG02715	peripheral 	blood 	DNA unknown
HG01260	peripheral 	blood 	DNA unknown
HG01393	peripheral 	blood 	DNA unknown
NA18517	peripheral 	blood 	DNA unknown
HG03127	peripheral 	blood 	DNA unknown
HG00631	peripheral 	blood 	DNA unknown
HG02577	peripheral 	blood 	DNA unknown
NA20758	peripheral 	blood 	DNA unknown
HG02408	peripheral 	blood 	DNA unknown
NA19835	peripheral 	blood 	DNA unknown
HG01789	peripheral 	blood 	DNA unknown
HG01438	peripheral 	blood 	DNA unknown
HG03111	peripheral 	blood 	DNA unknown
NA19434	peripheral 	blood 	DNA unknown
NA12347	peripheral 	blood 	DNA unknown
HG00707	peripheral 	blood 	DNA unknown
HG03352	peripheral 	blood 	DNA unknown
NA18533	peripheral 	blood 	DNA unknown
HG03445	peripheral 	blood 	DNA unknown
NA07037	peripheral 	blood 	DNA unknown
HG02505	peripheral 	blood 	DNA unknown
NA19456	peripheral 	blood 	DNA unknown
HG01047	peripheral 	blood 	DNA unknown
HG01412	peripheral 	blood 	DNA unknown
HG01812	peripheral 	blood 	DNA unknown
HG02799	peripheral 	blood 	DNA unknown
HG01679	peripheral 	blood 	DNA unknown
NA18612	peripheral 	blood 	DNA unknown
HG02549	peripheral 	blood 	DNA unknown
HG00140	peripheral 	blood 	DNA unknown
HG00851	peripheral 	blood 	DNA unknown
HG00419	peripheral 	blood 	DNA unknown
HG02882	peripheral 	blood 	DNA unknown
HG02151	peripheral 	blood 	DNA unknown
NA20773	peripheral 	blood 	DNA unknown
HG02681	peripheral 	blood 	DNA unknown
NA20362	peripheral 	blood 	DNA unknown
NA12273	peripheral 	blood 	DNA unknown
HG00638	peripheral 	blood 	DNA unknown
HG01599	peripheral 	blood 	DNA unknown
NA18878	peripheral 	blood 	DNA unknown
NA18528	peripheral 	blood 	DNA unknown
NA19121	peripheral 	blood 	DNA unknown
HG01098	peripheral 	blood 	DNA unknown
HG03767	peripheral 	blood 	DNA unknown
HG02736	peripheral 	blood 	DNA unknown
HG02040	peripheral 	blood 	DNA unknown
HG00106	peripheral 	blood 	DNA unknown
HG03157	peripheral 	blood 	DNA unknown
NA12812	peripheral 	blood 	DNA unknown
HG01770	peripheral 	blood 	DNA unknown
HG00252	peripheral 	blood 	DNA unknown
NA18627	peripheral 	blood 	DNA unknown
HG01631	peripheral 	blood 	DNA unknown
HG03583	peripheral 	blood 	DNA unknown
NA18999	peripheral 	blood 	DNA unknown
HG02238	peripheral 	blood 	DNA unknown
HG02330	peripheral 	blood 	DNA unknown
HG02603	peripheral 	blood 	DNA unknown
NA19331	peripheral 	blood 	DNA unknown
HG03619	peripheral 	blood 	DNA unknown
HG00559	peripheral 	blood 	DNA unknown
HG02624	peripheral 	blood 	DNA unknown
NA12005	peripheral 	blood 	DNA unknown
HG00978	peripheral 	blood 	DNA unknown
NA18562	peripheral 	blood 	DNA unknown
NA20351	peripheral 	blood 	DNA unknown
NA12777	peripheral 	blood 	DNA unknown
NA19088	peripheral 	blood 	DNA unknown
HG00108	peripheral 	blood 	DNA unknown
HG01513	peripheral 	blood 	DNA unknown
HG02223	peripheral 	blood 	DNA unknown
NA20783	peripheral 	blood 	DNA unknown
HG02351	peripheral 	blood 	DNA unknown
NA19059	peripheral 	blood 	DNA unknown
NA20890	peripheral 	blood 	DNA unknown
HG00443	peripheral 	blood 	DNA unknown
NA19020	peripheral 	blood 	DNA unknown
NA18912	peripheral 	blood 	DNA unknown
NA18963	peripheral 	blood 	DNA unknown
NA12776	peripheral 	blood 	DNA unknown
NA18982	peripheral 	blood 	DNA unknown
HG02111	peripheral 	blood 	DNA unknown
HG02108	peripheral 	blood 	DNA unknown
HG02450	peripheral 	blood 	DNA unknown
NA18532	peripheral 	blood 	DNA unknown
HG02879	peripheral 	blood 	DNA unknown
NA19379	peripheral 	blood 	DNA unknown
HG01879	peripheral 	blood 	DNA unknown
NA20321	peripheral 	blood 	DNA unknown
HG03484	peripheral 	blood 	DNA unknown
HG00674	peripheral 	blood 	DNA unknown
HG02485	peripheral 	blood 	DNA unknown
HG00654	peripheral 	blood 	DNA unknown
HG01414	peripheral 	blood 	DNA unknown
NA20126	peripheral 	blood 	DNA unknown
NA18970	peripheral 	blood 	DNA unknown
HG03515	peripheral 	blood 	DNA unknown
HG00318	peripheral 	blood 	DNA unknown
HG01500	peripheral 	blood 	DNA unknown
HG03391	peripheral 	blood 	DNA unknown
HG00881	peripheral 	blood 	DNA unknown
NA18549	peripheral 	blood 	DNA unknown
NA18740	peripheral 	blood 	DNA unknown
HG01101	peripheral 	blood 	DNA unknown
HG01613	peripheral 	blood 	DNA unknown
NA19159	peripheral 	blood 	DNA unknown
HG03267	peripheral 	blood 	DNA unknown
HG01617	peripheral 	blood 	DNA unknown
HG02679	peripheral 	blood 	DNA unknown
HG00137	peripheral 	blood 	DNA unknown
HG02255	peripheral 	blood 	DNA unknown
HG00428	peripheral 	blood 	DNA unknown
NA19065	peripheral 	blood 	DNA unknown
NA12272	peripheral 	blood 	DNA unknown
NA18616	peripheral 	blood 	DNA unknown
NA18541	peripheral 	blood 	DNA unknown
NA19679	peripheral 	blood 	DNA unknown
HG01886	peripheral 	blood 	DNA unknown
HG01889	peripheral 	blood 	DNA unknown
HG02182	peripheral 	blood 	DNA unknown
NA18994	peripheral 	blood 	DNA unknown
NA20765	peripheral 	blood 	DNA unknown
HG01847	peripheral 	blood 	DNA unknown
HG03123	peripheral 	blood 	DNA unknown
HG01066	peripheral 	blood 	DNA unknown
NA20359	peripheral 	blood 	DNA unknown
NA19056	peripheral 	blood 	DNA unknown
HG02655	peripheral 	blood 	DNA unknown
NA11894	peripheral 	blood 	DNA unknown
HG01286	peripheral 	blood 	DNA unknown
NA18987	peripheral 	blood 	DNA unknown
HG02976	peripheral 	blood 	DNA unknown
HG03488	peripheral 	blood 	DNA unknown
NA18599	peripheral 	blood 	DNA unknown
NA19214	peripheral 	blood 	DNA unknown
HG03166	peripheral 	blood 	DNA unknown
NA19107	peripheral 	blood 	DNA unknown
NA12830	peripheral 	blood 	DNA unknown
HG00371	peripheral 	blood 	DNA unknown
HG02153	peripheral 	blood 	DNA unknown
NA18553	peripheral 	blood 	DNA unknown
HG01284	peripheral 	blood 	DNA unknown
HG02367	peripheral 	blood 	DNA unknown
HG03103	peripheral 	blood 	DNA unknown
HG00141	peripheral 	blood 	DNA unknown
HG00157	peripheral 	blood 	DNA unknown
HG00737	peripheral 	blood 	DNA unknown
HG01746	peripheral 	blood 	DNA unknown
HG02064	peripheral 	blood 	DNA unknown
HG00406	peripheral 	blood 	DNA unknown
HG01205	peripheral 	blood 	DNA unknown
NA18974	peripheral 	blood 	DNA unknown
HG02816	peripheral 	blood 	DNA unknown
HG01841	peripheral 	blood 	DNA unknown
HG02215	peripheral 	blood 	DNA unknown
HG01790	peripheral 	blood 	DNA unknown
HG01840	peripheral 	blood 	DNA unknown
HG02891	peripheral 	blood 	DNA unknown
HG02283	peripheral 	blood 	DNA unknown
HG02343	peripheral 	blood 	DNA unknown
NA19198	peripheral 	blood 	DNA unknown
NA12717	peripheral 	blood 	DNA unknown
NA19471	peripheral 	blood 	DNA unknown
NA20757	peripheral 	blood 	DNA unknown
HG02076	peripheral 	blood 	DNA unknown
NA19081	peripheral 	blood 	DNA unknown
NA18934	peripheral 	blood 	DNA unknown
HG01396	peripheral 	blood 	DNA unknown
NA11830	peripheral 	blood 	DNA unknown
NA20534	peripheral 	blood 	DNA unknown
NA11931	peripheral 	blood 	DNA unknown
NA19074	peripheral 	blood 	DNA unknown
NA18877	peripheral 	blood 	DNA unknown
HG00102	peripheral 	blood 	DNA unknown
HG01626	peripheral 	blood 	DNA unknown
HG03455	peripheral 	blood 	DNA unknown
NA20536	peripheral 	blood 	DNA unknown
NA20287	peripheral 	blood 	DNA unknown
HG02837	peripheral 	blood 	DNA unknown
HG00382	peripheral 	blood 	DNA unknown
HG01111	peripheral 	blood 	DNA unknown
HG01944	peripheral 	blood 	DNA unknown
NA12400	peripheral 	blood 	DNA unknown
HG01250	peripheral 	blood 	DNA unknown
HG00115	peripheral 	blood 	DNA unknown
HG01139	peripheral 	blood 	DNA unknown
HG02382	peripheral 	blood 	DNA unknown
HG02087	peripheral 	blood 	DNA unknown
NA18964	peripheral 	blood 	DNA unknown
HG01765	peripheral 	blood 	DNA unknown
HG03055	peripheral 	blood 	DNA unknown
HG01704	peripheral 	blood 	DNA unknown
HG01779	peripheral 	blood 	DNA unknown
HG03209	peripheral 	blood 	DNA unknown
HG00731	peripheral 	blood 	DNA unknown
HG00257	peripheral 	blood 	DNA unknown
HG02396	peripheral 	blood 	DNA unknown
HG00592	peripheral 	blood 	DNA unknown
NA19143	peripheral 	blood 	DNA unknown
HG00337	peripheral 	blood 	DNA unknown
HG02029	peripheral 	blood 	DNA unknown
HG03575	peripheral 	blood 	DNA unknown
NA19648	peripheral 	blood 	DNA unknown
HG00268	peripheral 	blood 	DNA unknown
HG00349	peripheral 	blood 	DNA unknown
HG02497	peripheral 	blood 	DNA unknown
NA19070	peripheral 	blood 	DNA unknown
HG00182	peripheral 	blood 	DNA unknown
NA18941	peripheral 	blood 	DNA unknown
HG02420	peripheral 	blood 	DNA unknown
HG00449	peripheral 	blood 	DNA unknown
HG03133	peripheral 	blood 	DNA unknown
HG02810	peripheral 	blood 	DNA unknown
HG00239	peripheral 	blood 	DNA unknown
HG02649	peripheral 	blood 	DNA unknown
NA19239	peripheral 	blood 	DNA unknown
HG03446	peripheral 	blood 	DNA unknown
HG03112	peripheral 	blood 	DNA unknown
HG00245	peripheral 	blood 	DNA unknown
HG01800	peripheral 	blood 	DNA unknown
HG03028	peripheral 	blood 	DNA unknown
NA19625	peripheral 	blood 	DNA unknown
HG01131	peripheral 	blood 	DNA unknown
HG01858	peripheral 	blood 	DNA unknown
HG00451	peripheral 	blood 	DNA unknown
NA20581	peripheral 	blood 	DNA unknown
NA19037	peripheral 	blood 	DNA unknown
HG01342	peripheral 	blood 	DNA unknown
HG02144	peripheral 	blood 	DNA unknown
NA19338	peripheral 	blood 	DNA unknown
HG02315	peripheral 	blood 	DNA unknown
HG02314	peripheral 	blood 	DNA unknown
NA12282	peripheral 	blood 	DNA unknown
HG01073	peripheral 	blood 	DNA unknown
HG00551	peripheral 	blood 	DNA unknown
HG02023	peripheral 	blood 	DNA unknown
HG00640	peripheral 	blood 	DNA unknown
HG02180	peripheral 	blood 	DNA unknown
HG01083	peripheral 	blood 	DNA unknown
HG01757	peripheral 	blood 	DNA unknown
HG03439	peripheral 	blood 	DNA unknown
NA19308	peripheral 	blood 	DNA unknown
NA18639	peripheral 	blood 	DNA unknown
NA20762	peripheral 	blood 	DNA unknown
HG01785	peripheral 	blood 	DNA unknown
HG02756	peripheral 	blood 	DNA unknown
HG00288	peripheral 	blood 	DNA unknown
HG02476	peripheral 	blood 	DNA unknown
HG02768	peripheral 	blood 	DNA unknown
HG01488	peripheral 	blood 	DNA unknown
HG01464	peripheral 	blood 	DNA unknown
NA18990	peripheral 	blood 	DNA unknown
HG00581	peripheral 	blood 	DNA unknown
HG00613	peripheral 	blood 	DNA unknown
NA20318	peripheral 	blood 	DNA unknown
HG00180	peripheral 	blood 	DNA unknown
HG00378	peripheral 	blood 	DNA unknown
HG02851	peripheral 	blood 	DNA unknown
HG01956	peripheral 	blood 	DNA unknown
HG03556	peripheral 	blood 	DNA unknown
NA19316	peripheral 	blood 	DNA unknown
NA18536	peripheral 	blood 	DNA unknown
HG02429	peripheral 	blood 	DNA unknown
NA19445	peripheral 	blood 	DNA unknown
NA11893	peripheral 	blood 	DNA unknown
NA18606	peripheral 	blood 	DNA unknown
NA19794	peripheral 	blood 	DNA unknown
HG03298	peripheral 	blood 	DNA unknown
HG03410	peripheral 	blood 	DNA unknown
NA19466	peripheral 	blood 	DNA unknown
HG02952	peripheral 	blood 	DNA unknown
NA20787	peripheral 	blood 	DNA unknown
HG02406	peripheral 	blood 	DNA unknown
NA18959	peripheral 	blood 	DNA unknown
HG01605	peripheral 	blood 	DNA unknown
HG01808	peripheral 	blood 	DNA unknown
HG01190	peripheral 	blood 	DNA unknown
HG00623	peripheral 	blood 	DNA unknown
HG01455	peripheral 	blood 	DNA unknown
HG02465	peripheral 	blood 	DNA unknown
NA19429	peripheral 	blood 	DNA unknown
HG02721	peripheral 	blood 	DNA unknown
HG03367	peripheral 	blood 	DNA unknown
HG00329	peripheral 	blood 	DNA unknown
HG02375	peripheral 	blood 	DNA unknown
HG02922	peripheral 	blood 	DNA unknown
HG03195	peripheral 	blood 	DNA unknown
HG00233	peripheral 	blood 	DNA unknown
NA18949	peripheral 	blood 	DNA unknown
HG03048	peripheral 	blood 	DNA unknown
HG01366	peripheral 	blood 	DNA unknown
NA12155	peripheral 	blood 	DNA unknown
NA12340	peripheral 	blood 	DNA unknown
NA19327	peripheral 	blood 	DNA unknown
NA19385	peripheral 	blood 	DNA unknown
HG02353	peripheral 	blood 	DNA unknown
HG01028	peripheral 	blood 	DNA unknown
NA12749	peripheral 	blood 	DNA unknown
HG02521	peripheral 	blood 	DNA unknown
HG01432	peripheral 	blood 	DNA unknown
NA18523	peripheral 	blood 	DNA unknown
HG00099	peripheral 	blood 	DNA unknown
HG00599	peripheral 	blood 	DNA unknown
HG00335	peripheral 	blood 	DNA unknown
NA20821	peripheral 	blood 	DNA unknown
HG01102	peripheral 	blood 	DNA unknown
HG02130	peripheral 	blood 	DNA unknown
NA19184	peripheral 	blood 	DNA unknown
HG01556	peripheral 	blood 	DNA unknown
HG00358	peripheral 	blood 	DNA unknown
HG02137	peripheral 	blood 	DNA unknown
NA19116	peripheral 	blood 	DNA unknown
HG02699	peripheral 	blood 	DNA unknown
HG02309	peripheral 	blood 	DNA unknown
HG02700	peripheral 	blood 	DNA unknown
HG01624	peripheral 	blood 	DNA unknown
HG02121	peripheral 	blood 	DNA unknown
HG03354	peripheral 	blood 	DNA unknown
HG01375	peripheral 	blood 	DNA unknown
HG01811	peripheral 	blood 	DNA unknown
HG01684	peripheral 	blood 	DNA unknown
HG01926	peripheral 	blood 	DNA unknown
HG02546	peripheral 	blood 	DNA unknown
NA19437	peripheral 	blood 	DNA unknown
HG01051	peripheral 	blood 	DNA unknown
HG01142	peripheral 	blood 	DNA unknown
HG02323	peripheral 	blood 	DNA unknown
HG03199	peripheral 	blood 	DNA unknown
HG01596	peripheral 	blood 	DNA unknown
HG03046	peripheral 	blood 	DNA unknown
HG00473	peripheral 	blood 	DNA unknown
HG01894	peripheral 	blood 	DNA unknown
NA19207	peripheral 	blood 	DNA unknown
NA12760	peripheral 	blood 	DNA unknown
HG01070	peripheral 	blood 	DNA unknown
NA20850	peripheral 	blood 	DNA unknown
HG00234	peripheral 	blood 	DNA unknown
NA18957	peripheral 	blood 	DNA unknown
HG02557	peripheral 	blood 	DNA unknown
HG01673	peripheral 	blood 	DNA unknown
HG03135	peripheral 	blood 	DNA unknown
HG03096	peripheral 	blood 	DNA unknown
HG01174	peripheral 	blood 	DNA unknown
NA06989	peripheral 	blood 	DNA unknown
HG03061	peripheral 	blood 	DNA unknown
HG03578	peripheral 	blood 	DNA unknown
NA20356	peripheral 	blood 	DNA unknown
HG02502	peripheral 	blood 	DNA unknown
HG02896	peripheral 	blood 	DNA unknown
NA20521	peripheral 	blood 	DNA unknown
HG02580	peripheral 	blood 	DNA unknown
HG00566	peripheral 	blood 	DNA unknown
HG02047	peripheral 	blood 	DNA unknown
NA18988	peripheral 	blood 	DNA unknown
HG00524	peripheral 	blood 	DNA unknown
HG00111	peripheral 	blood 	DNA unknown
NA20755	peripheral 	blood 	DNA unknown
NA20538	peripheral 	blood 	DNA unknown
HG00560	peripheral 	blood 	DNA unknown
HG01747	peripheral 	blood 	DNA unknown
NA18923	peripheral 	blood 	DNA unknown
NA18530	peripheral 	blood 	DNA unknown
NA20587	peripheral 	blood 	DNA unknown
NA18636	peripheral 	blood 	DNA unknown
HG00353	peripheral 	blood 	DNA unknown
HG00260	peripheral 	blood 	DNA unknown
HG02697	peripheral 	blood 	DNA unknown
HG03370	peripheral 	blood 	DNA unknown
HG02595	peripheral 	blood 	DNA unknown
HG00143	peripheral 	blood 	DNA unknown
NA19147	peripheral 	blood 	DNA unknown
NA12748	peripheral 	blood 	DNA unknown
HG00421	peripheral 	blood 	DNA unknown
HG00698	peripheral 	blood 	DNA unknown
HG00284	peripheral 	blood 	DNA unknown
HG01702	peripheral 	blood 	DNA unknown
HG01254	peripheral 	blood 	DNA unknown
HG02594	peripheral 	blood 	DNA unknown
HG03078	peripheral 	blood 	DNA unknown
NA19475	peripheral 	blood 	DNA unknown
HG01323	peripheral 	blood 	DNA unknown
HG03085	peripheral 	blood 	DNA unknown
HG01362	peripheral 	blood 	DNA unknown
NA12813	peripheral 	blood 	DNA unknown
NA19375	peripheral 	blood 	DNA unknown
HG01269	peripheral 	blood 	DNA unknown
HG02946	peripheral 	blood 	DNA unknown
HG03478	peripheral 	blood 	DNA unknown
HG00407	peripheral 	blood 	DNA unknown
HG03428	peripheral 	blood 	DNA unknown
NA20540	peripheral 	blood 	DNA unknown
HG01444	peripheral 	blood 	DNA unknown
HG00269	peripheral 	blood 	DNA unknown
NA18648	peripheral 	blood 	DNA unknown
NA20807	peripheral 	blood 	DNA unknown
HG00246	peripheral 	blood 	DNA unknown
HG02648	peripheral 	blood 	DNA unknown
NA18609	peripheral 	blood 	DNA unknown
HG02477	peripheral 	blood 	DNA unknown
HG00531	peripheral 	blood 	DNA unknown
HG01272	peripheral 	blood 	DNA unknown
HG02086	peripheral 	blood 	DNA unknown
NA18502	peripheral 	blood 	DNA unknown
HG00626	peripheral 	blood 	DNA unknown
NA19172	peripheral 	blood 	DNA unknown
NA18621	peripheral 	blood 	DNA unknown
HG02051	peripheral 	blood 	DNA unknown
HG02983	peripheral 	blood 	DNA unknown
NA12489	peripheral 	blood 	DNA unknown
NA19131	peripheral 	blood 	DNA unknown
HG00332	peripheral 	blood 	DNA unknown
HG01161	peripheral 	blood 	DNA unknown
NA18572	peripheral 	blood 	DNA unknown
HG02371	peripheral 	blood 	DNA unknown
HG00375	peripheral 	blood 	DNA unknown
HG01134	peripheral 	blood 	DNA unknown
NA19222	peripheral 	blood 	DNA unknown
HG02070	peripheral 	blood 	DNA unknown
HG03246	peripheral 	blood 	DNA unknown
HG00119	peripheral 	blood 	DNA unknown
HG00452	peripheral 	blood 	DNA unknown
HG03464	peripheral 	blood 	DNA unknown
NA12874	peripheral 	blood 	DNA unknown
HG03295	peripheral 	blood 	DNA unknown
HG02537	peripheral 	blood 	DNA unknown
HG01486	peripheral 	blood 	DNA unknown
NA12275	peripheral 	blood 	DNA unknown
HG03765	peripheral 	blood 	DNA unknown
NA18943	peripheral 	blood 	DNA unknown
NA11881	peripheral 	blood 	DNA unknown
NA19652	peripheral 	blood 	DNA unknown
HG02654	peripheral 	blood 	DNA unknown
NA19042	peripheral 	blood 	DNA unknown
NA18879	peripheral 	blood 	DNA unknown
HG01200	peripheral 	blood 	DNA unknown
HG02017	peripheral 	blood 	DNA unknown
HG02391	peripheral 	blood 	DNA unknown
HG02014	peripheral 	blood 	DNA unknown
HG03313	peripheral 	blood 	DNA unknown
HG01810	peripheral 	blood 	DNA unknown
HG00341	peripheral 	blood 	DNA unknown
NA19017	peripheral 	blood 	DNA unknown
NA19086	peripheral 	blood 	DNA unknown
NA10847	peripheral 	blood 	DNA unknown
NA18597	peripheral 	blood 	DNA unknown
HG03388	peripheral 	blood 	DNA unknown
NA18986	peripheral 	blood 	DNA unknown
HG00693	peripheral 	blood 	DNA unknown
HG01437	peripheral 	blood 	DNA unknown
HG02409	peripheral 	blood 	DNA unknown
NA18993	peripheral 	blood 	DNA unknown
HG01519	peripheral 	blood 	DNA unknown
HG00326	peripheral 	blood 	DNA unknown
HG02854	peripheral 	blood 	DNA unknown
HG03126	peripheral 	blood 	DNA unknown
NA18747	peripheral 	blood 	DNA unknown
NA18559	peripheral 	blood 	DNA unknown
HG03115	peripheral 	blood 	DNA unknown
HG01525	peripheral 	blood 	DNA unknown
HG03105	peripheral 	blood 	DNA unknown
HG00114	peripheral 	blood 	DNA unknown
HG03518	peripheral 	blood 	DNA unknown
NA19703	peripheral 	blood 	DNA unknown
HG03363	peripheral 	blood 	DNA unknown
HG00273	peripheral 	blood 	DNA unknown
HG01064	peripheral 	blood 	DNA unknown
NA19054	peripheral 	blood 	DNA unknown
NA20766	peripheral 	blood 	DNA unknown
HG01846	peripheral 	blood 	DNA unknown
HG01360	peripheral 	blood 	DNA unknown
HG03162	peripheral 	blood 	DNA unknown
NA20513	peripheral 	blood 	DNA unknown
NA20585	peripheral 	blood 	DNA unknown
NA20339	peripheral 	blood 	DNA unknown
NA19818	peripheral 	blood 	DNA unknown
HG02798	peripheral 	blood 	DNA unknown
HG03397	peripheral 	blood 	DNA unknown
HG02140	peripheral 	blood 	DNA unknown
HG03225	peripheral 	blood 	DNA unknown
HG00131	peripheral 	blood 	DNA unknown
HG00103	peripheral 	blood 	DNA unknown
NA18546	peripheral 	blood 	DNA unknown
HG00543	peripheral 	blood 	DNA unknown
NA12154	peripheral 	blood 	DNA unknown
NA18637	peripheral 	blood 	DNA unknown
NA18971	peripheral 	blood 	DNA unknown
NA19076	peripheral 	blood 	DNA unknown
HG00619	peripheral 	blood 	DNA unknown
HG00632	peripheral 	blood 	DNA unknown
HG02136	peripheral 	blood 	DNA unknown
NA18868	peripheral 	blood 	DNA unknown
HG00381	peripheral 	blood 	DNA unknown
NA18577	peripheral 	blood 	DNA unknown
HG01618	peripheral 	blood 	DNA unknown
HG01873	peripheral 	blood 	DNA unknown
NA19904	peripheral 	blood 	DNA unknown
HG00362	peripheral 	blood 	DNA unknown
NA20872	peripheral 	blood 	DNA unknown
HG01865	peripheral 	blood 	DNA unknown
NA18939	peripheral 	blood 	DNA unknown
NA18979	peripheral 	blood 	DNA unknown
HG02511	peripheral 	blood 	DNA unknown
HG03066	peripheral 	blood 	DNA unknown
NA18980	peripheral 	blood 	DNA unknown
HG01512	peripheral 	blood 	DNA unknown
HG01183	peripheral 	blood 	DNA unknown
HG01860	peripheral 	blood 	DNA unknown
HG00656	peripheral 	blood 	DNA unknown
HG01607	peripheral 	blood 	DNA unknown
HG02943	peripheral 	blood 	DNA unknown
NA18519	peripheral 	blood 	DNA unknown
HG02461	peripheral 	blood 	DNA unknown
NA12546	peripheral 	blood 	DNA unknown
NA19443	peripheral 	blood 	DNA unknown
HG00608	peripheral 	blood 	DNA unknown
HG00739	peripheral 	blood 	DNA unknown
HG03624	peripheral 	blood 	DNA unknown
HG01786	peripheral 	blood 	DNA unknown
NA18507	peripheral 	blood 	DNA unknown
HG00315	peripheral 	blood 	DNA unknown
HG00158	peripheral 	blood 	DNA unknown
HG03451	peripheral 	blood 	DNA unknown
HG02442	peripheral 	blood 	DNA unknown
HG01697	peripheral 	blood 	DNA unknown
NA20814	peripheral 	blood 	DNA unknown
NA18856	peripheral 	blood 	DNA unknown
NA18596	peripheral 	blood 	DNA unknown
NA18646	peripheral 	blood 	DNA unknown
NA20752	peripheral 	blood 	DNA unknown
HG01709	peripheral 	blood 	DNA unknown
NA20511	peripheral 	blood 	DNA unknown
HG02184	peripheral 	blood 	DNA unknown
NA20589	peripheral 	blood 	DNA unknown
NA19403	peripheral 	blood 	DNA unknown
HG02179	peripheral 	blood 	DNA unknown
HG00662	peripheral 	blood 	DNA unknown
HG00264	peripheral 	blood 	DNA unknown
NA18952	peripheral 	blood 	DNA unknown
NA18608	peripheral 	blood 	DNA unknown
HG03159	peripheral 	blood 	DNA unknown
NA20826	peripheral 	blood 	DNA unknown
HG00625	peripheral 	blood 	DNA unknown
HG01302	peripheral 	blood 	DNA unknown
HG00357	peripheral 	blood 	DNA unknown
HG02852	peripheral 	blood 	DNA unknown
NA18613	peripheral 	blood 	DNA unknown
NA18618	peripheral 	blood 	DNA unknown
HG01086	peripheral 	blood 	DNA unknown
HG03548	peripheral 	blood 	DNA unknown
HG03084	peripheral 	blood 	DNA unknown
HG01354	peripheral 	blood 	DNA unknown
NA19455	peripheral 	blood 	DNA unknown
HG02317	peripheral 	blood 	DNA unknown
HG02884	peripheral 	blood 	DNA unknown
HG03521	peripheral 	blood 	DNA unknown
NA12716	peripheral 	blood 	DNA unknown
NA20801	peripheral 	blood 	DNA unknown
HG01031	peripheral 	blood 	DNA unknown
HG02433	peripheral 	blood 	DNA unknown
HG02141	peripheral 	blood 	DNA unknown
NA10851	peripheral 	blood 	DNA unknown
NA19072	peripheral 	blood 	DNA unknown
HG01398	peripheral 	blood 	DNA unknown
HG00607	peripheral 	blood 	DNA unknown
HG02152	peripheral 	blood 	DNA unknown
HG03073	peripheral 	blood 	DNA unknown
HG03095	peripheral 	blood 	DNA unknown
HG02941	peripheral 	blood 	DNA unknown
HG02337	peripheral 	blood 	DNA unknown
NA12842	peripheral 	blood 	DNA unknown
NA19390	peripheral 	blood 	DNA unknown
HG03442	peripheral 	blood 	DNA unknown
HG00328	peripheral 	blood 	DNA unknown
NA18915	peripheral 	blood 	DNA unknown
HG01168	peripheral 	blood 	DNA unknown
HG02479	peripheral 	blood 	DNA unknown
HG02128	peripheral 	blood 	DNA unknown
HG02562	peripheral 	blood 	DNA unknown
HG02513	peripheral 	blood 	DNA unknown
HG02031	peripheral 	blood 	DNA unknown
HG02233	peripheral 	blood 	DNA unknown
HG03054	peripheral 	blood 	DNA unknown
NA19472	peripheral 	blood 	DNA unknown
HG02716	peripheral 	blood 	DNA unknown
NA18555	peripheral 	blood 	DNA unknown
NA19321	peripheral 	blood 	DNA unknown
HG01795	peripheral 	blood 	DNA unknown
NA12348	peripheral 	blood 	DNA unknown
HG01797	peripheral 	blood 	DNA unknown
HG01536	peripheral 	blood 	DNA unknown
NA19655	peripheral 	blood 	DNA unknown
NA18625	peripheral 	blood 	DNA unknown
NA20517	peripheral 	blood 	DNA unknown
HG01762	peripheral 	blood 	DNA unknown
NA20531	peripheral 	blood 	DNA unknown
