SAMPLE_ID	BODY_SITE	ANALYTE_TYPE	IS_TUMOR
HG01868	peripheral 	blood 	DNA unknown
HG01326	peripheral 	blood 	DNA unknown
HG02772	peripheral 	blood 	DNA unknown
NA20515	peripheral 	blood 	DNA unknown
HG02734	peripheral 	blood 	DNA unknown
NA18526	peripheral 	blood 	DNA unknown
NA19457	peripheral 	blood 	DNA unknown
NA20862	peripheral 	blood 	DNA unknown
NA20772	peripheral 	blood 	DNA unknown
HG01048	peripheral 	blood 	DNA unknown
HG02256	peripheral 	blood 	DNA unknown
NA19435	peripheral 	blood 	DNA unknown
NA18611	peripheral 	blood 	DNA unknown
NA07048	peripheral 	blood 	DNA unknown
HG00275	peripheral 	blood 	DNA unknown
HG01602	peripheral 	blood 	DNA unknown
HG00410	peripheral 	blood 	DNA unknown
HG00404	peripheral 	blood 	DNA unknown
HG01705	peripheral 	blood 	DNA unknown
NA11930	peripheral 	blood 	DNA unknown
HG02035	peripheral 	blood 	DNA unknown
NA20535	peripheral 	blood 	DNA unknown
HG03382	peripheral 	blood 	DNA unknown
HG00629	peripheral 	blood 	DNA unknown
NA18978	peripheral 	blood 	DNA unknown
HG00475	peripheral 	blood 	DNA unknown
HG03539	peripheral 	blood 	DNA unknown
NA20805	peripheral 	blood 	DNA unknown
HG01598	peripheral 	blood 	DNA unknown
HG03457	peripheral 	blood 	DNA unknown
HG02493	peripheral 	blood 	DNA unknown
NA19319	peripheral 	blood 	DNA unknown
NA07000	peripheral 	blood 	DNA unknown
NA21108	peripheral 	blood 	DNA unknown
HG01678	peripheral 	blood 	DNA unknown
HG00366	peripheral 	blood 	DNA unknown
NA18953	peripheral 	blood 	DNA unknown
HG01862	peripheral 	blood 	DNA unknown
HG00123	peripheral 	blood 	DNA unknown
NA19372	peripheral 	blood 	DNA unknown
HG02545	peripheral 	blood 	DNA unknown
NA19908	peripheral 	blood 	DNA unknown
HG01632	peripheral 	blood 	DNA unknown
HG01550	peripheral 	blood 	DNA unknown
NA18916	peripheral 	blood 	DNA unknown
HG01107	peripheral 	blood 	DNA unknown
HG03193	peripheral 	blood 	DNA unknown
NA20506	peripheral 	blood 	DNA unknown
HG00271	peripheral 	blood 	DNA unknown
HG01771	peripheral 	blood 	DNA unknown
HG02597	peripheral 	blood 	DNA unknown
HG00557	peripheral 	blood 	DNA unknown
HG01440	peripheral 	blood 	DNA unknown
HG03563	peripheral 	blood 	DNA unknown
HG03081	peripheral 	blood 	DNA unknown
HG00537	peripheral 	blood 	DNA unknown
HG01060	peripheral 	blood 	DNA unknown
HG00330	peripheral 	blood 	DNA unknown
HG00458	peripheral 	blood 	DNA unknown
HG00150	peripheral 	blood 	DNA unknown
NA18634	peripheral 	blood 	DNA unknown
HG01108	peripheral 	blood 	DNA unknown
NA20530	peripheral 	blood 	DNA unknown
NA19035	peripheral 	blood 	DNA unknown
HG02057	peripheral 	blood 	DNA unknown
HG01365	peripheral 	blood 	DNA unknown
HG01861	peripheral 	blood 	DNA unknown
